TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG02470	139435	115350	63217	4062558	187475	165234
HG02471	139734	115662	63314	4052942	186775	164295
HG02476	135516	116377	62662	4033623	185947	164340
HG02477	135617	116098	62466	4031641	186498	164025
HG02479	137202	113851	63004	4063017	187575	165108
HG02481	136905	116997	62609	4059907	187721	165263
HG02484	138735	114863	63521	4050894	187647	164891
HG02485	135371	114214	63327	3959364	182574	161780
HG02489	138627	115608	63383	4032388	186014	163786
HG02490	120207	110720	61165	3363138	155674	139428
HG02491	121308	111640	61501	3413221	157395	141445
HG02493	118953	108949	61214	3414808	157600	141754
HG02494	116794	108000	61135	3390520	156219	139996
HG02496	136036	113344	62857	4064594	187073	164828
HG02497	136818	113574	62808	4070140	187190	164783
HG02501	130586	114270	62744	3996862	184544	162249
HG02502	132257	114675	62905	4004030	184513	163107
HG02505	133259	114618	62803	4043185	186257	164180
HG02508	137664	114879	63153	4068465	188014	165213
HG02511	133874	112345	62570	4059662	186812	164344
HG02512	114079	106402	59876	3313000	152250	137437
HG02513	117567	107861	60617	3342084	154257	138820
HG02521	114624	106901	60398	3334119	153585	137886
HG02522	119586	108517	60990	3350360	154376	138881
HG02536	131715	114373	62727	3993000	183406	162167
HG02537	143432	115968	63875	4096166	189501	166659
HG02541	135948	114631	63508	4014502	185005	162706
HG02545	136452	116375	62239	4053906	187029	164697
HG02546	136494	115924	62389	4056421	187020	164799
HG02549	139759	114910	63262	4078244	188552	165694
HG02554	139493	115468	63509	4034902	186302	164212
HG02555	137110	114645	63532	4048512	186687	164786
HG02557	134968	115194	62154	4068537	187344	165047
HG02558	136638	116144	62594	4056135	187000	165042
HG02561	140468	117794	63828	4066187	188062	165499
HG02562	143521	118261	64065	4069089	188944	165673
HG02568	137363	114209	63064	4040589	186601	164279
HG02570	142737	117959	63939	4092443	189462	166087
HG02571	142529	117773	63552	4079406	188969	165953
HG02573	141975	117665	63665	4072542	188309	165424
HG02574	142236	117719	63926	4069955	188235	165343
HG02577	133879	115678	62522	3994533	184062	162900
HG02580	135221	114285	63244	4025538	185031	163802
HG02582	142293	117787	64130	4077063	188833	165514
HG02583	141482	117266	63446	4070657	187975	165864
HG02585	142649	118026	63556	4077955	188426	166204
HG02586	143032	118997	63847	4054408	187805	164847
HG02588	142090	117540	63605	4069362	188695	165772
HG02589	142187	117918	63925	4075950	188636	165626
