TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
NA12776	117390	110387	59868	3341799	154710	138826
NA12777	118633	110798	59765	3311377	153278	137380
NA12778	118491	109887	59943	3320572	153181	137352
NA12812	116008	105844	59681	3331040	152977	137694
NA12813	115996	109633	59642	3326452	153258	137261
NA12814	113825	104365	59198	3307086	152281	136571
NA12815	114506	104951	59418	3329381	153322	137542
NA12827	119050	107159	59957	3329953	152986	137632
NA12828	116592	109829	59771	3333884	153961	137949
NA12829	118371	106763	59791	3316573	152442	137090
NA12830	119856	107578	60223	3341710	154018	138436
NA12842	118085	106540	59812	3325696	152906	138039
NA12843	118643	107277	59971	3316191	152872	137106
NA12872	117453	107400	60114	3337356	154065	138007
NA12873	114549	105000	59639	3319897	152678	137141
NA12874	113943	104836	59072	3294615	151376	136264
NA12878	117309	107778	59979	3327547	153102	137837
NA12889	119221	106495	60100	3327540	153156	137431
