TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG00736	118282	111714	64198	3400208	152770	137171
HG00737	120680	113041	64712	3439052	155591	139094
HG00739	120282	112768	63835	3411114	153836	137031
HG00740	119383	113605	64959	3487308	157547	140752
HG00742	114064	111074	63612	3401547	152731	137029
HG00743	115983	112334	64003	3450279	155309	139048
HG00759	117444	110290	63591	3330008	149656	135173
HG00766	116947	110144	63624	3325546	149767	135013
HG00844	118519	110391	63737	3348053	150946	135014
HG00851	118383	109900	63591	3318135	149290	134415
HG00864	112530	110251	63447	3313182	148812	134565
HG00867	116125	109619	63421	3340310	150269	135307
HG00879	113128	108912	63139	3309671	148195	134117
HG00881	117241	110376	63794	3343590	150387	135020
HG00956	116403	110073	63789	3343493	151165	135258
HG00978	115123	109983	63359	3332257	149656	134868
HG00982	115797	110008	63341	3342659	150191	135400
HG01028	116065	110250	63501	3338287	150130	135379
HG01029	115560	109803	63322	3330007	149698	134289
HG01031	115158	109706	63325	3335490	149324	134904
HG01046	114494	109073	63109	3312224	148705	134264
HG01047	119581	112776	64828	3421785	154112	138436
HG01048	121319	113288	64711	3460018	156028	139542
HG01049	123672	116158	65849	3600164	163336	144840
HG01051	122555	113105	64825	3559249	159985	142935
HG01052	124299	113516	65355	3565991	160100	143355
HG01054	118712	112729	64216	3429211	154358	138616
HG01055	119442	113086	64809	3490222	157111	140904
HG01058	112229	110279	63678	3466276	155501	139248
HG01060	118648	110585	63611	3429217	153743	137580
HG01061	118818	111093	63929	3415202	153760	137517
HG01063	123033	115695	65809	3695948	166544	147686
HG01064	117444	112320	64456	3521568	158794	142037
HG01066	117721	111847	64436	3421479	153762	138040
HG01067	117572	111197	64473	3431083	154158	138983
HG01069	121116	112125	64175	3457362	155135	139305
HG01070	119474	112055	64146	3414445	153446	137788
HG01072	119225	110976	63693	3417343	153234	138194
HG01073	119245	111220	63691	3405042	153684	137421
HG01075	124436	114756	65525	3444973	156643	139540
HG01077	120068	114390	65025	3568826	160799	143403
HG01079	122447	113983	65213	3522055	158578	141276
HG01080	119257	112861	64837	3459390	155886	139250
HG01082	121026	112214	64676	3546032	159061	143146
HG01083	118878	111256	64127	3444859	154490	138623
HG01085	121224	112596	64583	3487544	157035	140453
HG01086	121593	112228	64371	3479080	156420	140143
HG01088	118962	114701	64133	3544601	159942	142260
HG01089	118485	114429	63865	3519697	158153	141712
HG01092	121825	115446	65501	3610747	162459	144528
HG01094	120815	113542	64481	3495314	157203	140488
HG01095	123902	114906	64661	3472455	157012	140160
HG01097	117435	111794	64000	3428545	154114	138363
HG01098	117889	111660	63750	3441840	154835	138465
HG01101	125939	115423	65828	3500082	158318	140701
HG01102	120832	112969	65133	3519616	158272	141328
HG01104	120546	112578	64816	3448191	155461	138941
HG01105	118439	111390	64165	3422068	154024	138368
HG01107	123545	114261	64957	3589247	161795	144039
HG01108	131794	118033	66739	3899932	175773	155634
HG01110	121090	112897	64512	3477960	156533	140046
HG01111	121326	112918	64517	3477364	156194	139938
HG01112	115971	110151	63071	3340770	150142	135209
HG01113	115922	111603	63748	3380692	152332	136357
HG01119	115889	109788	63689	3377716	151574	136393
HG01121	116800	113502	63829	3413795	153753	137480
HG01122	120743	114601	64127	3439262	155077	138856
HG01124	126688	114080	64876	3531513	158860	141962
HG01125	125052	112363	64401	3486658	157099	140554
HG01130	118090	111787	64296	3442365	154556	138623
HG01131	118362	111860	64409	3429507	154340	138245
HG01133	121352	114621	63842	3382764	152809	137253
HG01134	120817	113966	64068	3472503	156507	139806
HG01136	123943	115785	64436	3481498	157426	140318
HG01137	118603	110485	63129	3380560	152081	136619
HG01139	122295	116262	64722	3540470	159380	142077
HG01140	122298	114882	63887	3415625	153979	137896
HG01142	123114	114044	65891	3567856	160995	143605
HG01148	113433	110051	62795	3342640	149926	135452
HG01149	118650	113365	63604	3450653	154665	138703
HG01161	118527	113171	64323	3523379	158042	141606
HG01162	115862	112374	64270	3463234	155733	139732
HG01164	115741	112248	63455	3436470	154445	138368
HG01167	130383	118083	67050	3590613	162807	144359
HG01168	115193	111107	64057	3369878	153967	136085
HG01170	119077	111973	64205	3462252	156553	140153
HG01171	120605	112548	64652	3530669	158510	142361
HG01173	117486	111119	63808	3405205	153266	137632
HG01174	116740	110901	63738	3387727	152303	137131
HG01176	126174	117372	66009	3474776	157994	140401
HG01177	120134	113074	63887	3419830	153738	137865
HG01182	119609	116417	64835	3491257	170515	140423
HG01183	120417	116620	64687	3479827	163649	140358
HG01187	123615	118418	65411	3528587	169270	142236
HG01188	126442	117722	66220	3593133	165299	144514
HG01190	123460	115736	65523	3531593	159240	142109
HG01191	120135	113663	65037	3446702	155647	139217
HG01197	118738	113136	64522	3415837	154186	138152
HG01198	121059	113505	64637	3495005	157796	141026
HG01200	112262	110591	63024	3372758	151504	136123
HG01204	119511	113289	65006	3464499	156057	139711
HG01205	125375	116043	65753	3505903	158128	141253
HG01241	141273	124818	68583	3968778	181508	158073
HG01242	129711	118914	66764	3822045	172604	152580
HG01247	123791	115233	65232	3555701	159948	142576
HG01248	121517	114392	64726	3491226	157743	140548
HG01250	118494	112994	64097	3438340	155577	138628
HG01251	116721	115431	63652	3379147	157976	136403
HG01253	116611	111270	63995	3417396	153921	137731
HG01254	120637	113919	64799	3532899	160176	142080
HG01256	119084	110855	63513	3377084	152121	136002
HG01257	120393	111173	64110	3385004	152649	136390
HG01259	119842	110692	63606	3370610	151694	135806
HG01260	123990	113691	64914	3516118	158764	141785
HG01269	115837	110544	63687	3418104	153756	137867
HG01271	116007	110482	64324	3453274	155238	139083
HG01272	120392	111884	65151	3557093	160224	143305
HG01275	113187	107414	61898	3282221	147507	133028
HG01277	114587	108634	62918	3347845	150407	135397
HG01280	117423	111334	64045	3397521	152467	137474
HG01281	116191	110583	63419	3395840	152647	136857
HG01284	118887	111903	64279	3427606	154467	138120
HG01286	118094	113133	64264	3570219	160208	143350
HG01302	118021	113977	63550	3475158	156544	139618
HG01303	118405	113548	63340	3459865	155846	139245
HG01305	116714	112791	64546	3520909	158238	141208
HG01308	119837	114426	65133	3591271	162260	144242
HG01311	116573	112996	63429	3435077	154016	138260
HG01312	117238	113462	63884	3473107	156430	140066
HG01323	117328	114024	63555	3470801	156199	140244
HG01325	117767	113330	63435	3474002	156155	139877
HG01326	117418	113419	63849	3477051	157128	140188
HG01334	114282	108945	62924	3310512	148743	133944
HG01341	118296	112642	64243	3376260	151251	136004
HG01342	127320	117269	66565	3721373	168016	149291
HG01344	114416	109466	63276	3371590	150997	135894
HG01345	117402	110278	63975	3431870	154250	138536
HG01348	116651	110330	63696	3377391	152053	136624
HG01350	117408	111150	63939	3403520	152916	137145
HG01351	116190	110138	63321	3352637	150312	135582
HG01353	116109	110533	63520	3385660	152075	136361
HG01354	114835	109231	63023	3340853	150322	135145
HG01356	116608	111825	63932	3428754	154309	137841
HG01357	114937	110417	63181	3354499	151018	135059
HG01359	117190	112434	64730	3402034	153519	137769
HG01360	117944	111821	64342	3428215	154702	138345
HG01362	121749	116083	64590	3514934	158374	141254
HG01363	119953	114652	64370	3541491	160247	142494
HG01365	119754	112408	64645	3499986	157252	140360
HG01366	118843	111880	64444	3451597	155200	139146
HG01369	119613	112048	64494	3461585	156314	139864
HG01372	118650	111980	64576	3406109	153529	137797
HG01374	114880	109928	63448	3364612	150760	136274
HG01375	120599	112666	64717	3493986	156487	141199
HG01377	119026	112993	64572	3469326	155609	139895
HG01378	115134	111141	63239	3359105	151159	135821
HG01383	115541	110804	63379	3371676	151602	135955
HG01384	116862	111910	63627	3411723	153091	137510
HG01389	114759	109719	62883	3333632	149424	134839
HG01390	123651	113972	65066	3609273	162050	145000
HG01392	122452	113706	64912	3519559	158272	141324
HG01393	120756	113512	65284	3567631	160525	143344
HG01395	117825	110728	63710	3411994	153717	137481
HG01396	121144	112954	64745	3542507	158908	142756
HG01398	115104	111533	63212	3454599	154865	138797
HG01402	121821	112906	64785	3539249	159338	142188
HG01403	118935	111692	64441	3520585	157706	141440
HG01405	124953	113942	64204	3473578	157287	140122
HG01412	123650	113807	64300	3466059	156187	139700
HG01413	120167	111519	64389	3486386	156677	140541
HG01414	120361	112404	64627	3501870	157554	140671
HG01431	119709	114871	63920	3491651	157387	140319
HG01432	115720	112225	62657	3358000	150945	135175
HG01435	118283	111432	64447	3415753	153367	137447
HG01437	114451	111320	63518	3353309	154370	135567
HG01438	115795	110920	63538	3314934	148953	134200
HG01440	122442	113807	65171	3544454	159819	142914
HG01441	116257	111268	64070	3379254	151505	136373
HG01443	114563	112404	63298	3384963	152646	136726
HG01444	114776	112006	63412	3449969	155301	139252
HG01447	117738	112129	64239	3445853	154987	139000
HG01455	115743	111790	63744	3390430	153457	136859
HG01456	117519	112223	64273	3426414	154039	138508
HG01459	118020	111395	64407	3416769	154335	137589
HG01461	121854	114619	65592	3525889	159360	142604
HG01462	125160	115688	66088	3629435	163366	145717
HG01464	126799	116044	66245	3574361	160868	143743
HG01465	116344	111093	63788	3354359	151110	135810
HG01468	109742	108802	62344	3294617	148185	133198
HG01471	111792	109914	63379	3372834	151661	136390
HG01474	110977	109873	62962	3353640	150525	135341
HG01479	112574	109911	63178	3373180	151301	136219
HG01485	130429	117129	65818	3717239	167462	148881
HG01486	125009	114110	63951	3393303	153832	136859
HG01488	121511	113579	65247	3506963	157919	141224
HG01489	116353	111575	64100	3370733	152108	136722
HG01491	113844	110857	63069	3292189	149843	133486
HG01492	116832	111673	64051	3378298	151633	136554
HG01494	117474	112316	64393	3461924	156100	139510
HG01495	122603	113514	64895	3489409	157289	140329
HG01497	115815	110995	63938	3393354	152279	136793
HG01498	115808	111892	63840	3381593	152968	136590
HG01500	114389	110602	62373	3357892	150933	135610
HG01501	112928	110207	62267	3342622	149327	134378
HG01503	112603	110302	62538	3330370	149980	134870
HG01504	114344	110666	62319	3327572	149469	134356
HG01506	115857	111382	62544	3325950	149642	134473
HG01507	114398	111213	62471	3333879	149756	135184
HG01509	117846	114027	63647	3366295	151168	136323
HG01510	114433	111273	62453	3352016	150832	135739
HG01512	114459	110843	62206	3317354	148874	134360
HG01513	114874	111021	62275	3318739	149349	134535
HG01515	113377	109044	62509	3308732	148269	133266
HG01516	113329	109148	62356	3301803	148472	133082
HG01518	113805	109648	62673	3309674	148940	133477
HG01519	112724	109202	62708	3310188	148916	133893
HG01521	114125	109168	62754	3303906	148366	133747
HG01522	115206	109970	62626	3308675	149802	133988
HG01524	119192	110544	63541	3344730	150534	135131
HG01525	119372	110671	63422	3364960	151572	135849
HG01527	120986	110991	63790	3382078	152100	136342
HG01528	119146	110221	63106	3343125	150801	135341
HG01530	119865	110588	63211	3350185	150642	135355
HG01531	119443	110128	62954	3328282	149771	134287
HG01536	119677	110876	63696	3356426	150610	135536
HG01537	119421	109997	63272	3339687	150361	134986
HG01550	117758	112714	63803	3418286	154405	137873
HG01551	126728	117541	65841	3716388	168701	148826
HG01556	124360	114781	65782	3604318	161883	144539
HG01565	113713	111532	62468	3317326	149647	134110
HG01566	113995	111471	62507	3345060	150849	135344
HG01571	112957	110903	62346	3312120	149311	133997
HG01572	111220	109066	61074	3219002	145026	130811
HG01577	116737	113633	63629	3407096	153886	137358
HG01578	114957	112524	62609	3335527	150398	135000
HG01583	113401	111659	63831	3402168	152751	137175
HG01586	112959	111375	63823	3388116	152106	136429
HG01589	112131	110464	62978	3347139	150393	134922
HG01593	111150	109259	62790	3316593	148872	134020
HG01595	115011	111096	62560	3324225	149573	134875
HG01596	113985	110464	62541	3302990	148471	133626
HG01597	116641	112861	63214	3340055	151265	135675
HG01598	115544	111654	63123	3339981	150091	135279
HG01599	115340	109574	63206	3317770	149131	134595
HG01600	117735	110543	63540	3349528	150743	135701
HG01602	113952	110277	62953	3342423	150209	134981
HG01603	114636	110297	63060	3344777	150548	135525
HG01605	113225	109572	62571	3315738	148788	133784
HG01606	113627	109503	62869	3323721	149281	134184
HG01607	114143	109742	62679	3325426	149490	134374
HG01608	115512	110886	63181	3343736	150836	135353
HG01610	115373	110172	62831	3328224	149497	134342
HG01612	114908	110221	62760	3352976	150209	135545
HG01613	115530	110524	62970	3338157	150149	134925
HG01615	113362	110031	62851	3327589	149755	134680
HG01617	114282	108430	62439	3342414	150360	134913
HG01618	115044	108915	62999	3346429	150672	135158
HG01619	115482	109712	63089	3355034	150706	135237
HG01620	115369	108991	62776	3361912	151385	135993
HG01623	116530	110032	63574	3383193	151988	136605
HG01624	115521	108821	63250	3367933	151329	135898
HG01625	114262	108449	62733	3346472	149944	134988
HG01626	113788	108315	62539	3353336	150517	135357
HG01628	114394	108576	63176	3384011	151846	136628
HG01630	115912	109069	62961	3378995	152224	136236
