TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
NA19651	119140	109704	61006	3420119	157684	141675
NA19652	119376	109394	60992	3405441	156742	140911
NA19654	120284	109517	61075	3405332	156566	140586
NA19655	118732	109997	61076	3393079	156725	140265
NA19657	117640	109020	61423	3390636	156495	140619
NA19658	118610	108790	60622	3399118	156260	140845
NA19661	123456	110488	61846	3410549	157266	141274
NA19663	115969	108147	61091	3375881	155445	139943
NA19664	117487	109701	61387	3409505	156837	141181
NA19669	118259	108175	60702	3373546	155572	139859
NA19670	117388	108094	60707	3379756	155494	139961
NA19676	120126	110074	61738	3416766	156829	141221
NA19678	117590	108198	60639	3415590	156474	140977
NA19679	115959	107354	59679	3300671	151472	137285
NA19681	118138	109549	61356	3399980	156860	140865
NA19682	115599	108008	60599	3358406	153957	139065
NA19684	119253	109135	61050	3388860	155513	140329
NA19700	137505	114530	63094	4017433	185186	163168
NA19701	137830	115116	62909	4013024	185270	163644
NA19703	137785	114817	62766	4019585	186594	163726
NA19704	136450	114859	62936	4039972	186954	164277
NA19707	136714	114785	62842	3958566	183142	161412
NA19711	135933	114385	62506	4049096	186493	164540
NA19712	138397	114447	62646	4022712	185265	163251
NA19713	136660	115506	63930	3966580	182649	161661
NA19716	118212	109783	61377	3412925	157614	140615
NA19717	119429	109519	61348	3397366	156664	140514
NA19719	118756	110221	61080	3419212	157710	141307
NA19720	122110	110469	61628	3399726	156492	140432
NA19722	118554	108854	60853	3404420	158855	140614
NA19723	120199	108252	60590	3432010	158383	142099
NA19725	119092	108320	60288	3404807	156485	140225
NA19726	119122	108263	60288	3362620	155126	139012
NA19728	110994	104124	58430	3214330	147557	134042
NA19729	113644	105093	59279	3257742	149267	135183
NA19731	114120	104860	59045	3225321	148030	133469
NA19732	110690	104167	58634	3198028	147016	133201
NA19734	114073	105139	60151	3339971	153925	138277
NA19735	113624	105218	59333	3297257	151546	136940
NA19740	116307	106497	60027	3351178	154355	138732
NA19741	112868	104294	59541	3303300	151982	136701
NA19746	118045	107724	60577	3359130	155177	139070
NA19747	115768	107348	60370	3368728	154999	139338
NA19749	114877	107484	60287	3390014	155928	140191
NA19750	114253	107522	60288	3374403	155337	139656
NA19752	116267	106489	60141	3372400	155163	139517
NA19755	117872	108220	60566	3373237	155582	139378
NA19756	116899	108336	60581	3413102	157529	141013
NA19758	114849	107148	59727	3305103	152422	136860
NA19759	116446	107120	59993	3322373	153185	137201
NA19761	117190	108857	60840	3403760	157074	141038
NA19762	117927	110007	61090	3425443	157770	140955
NA19764	120848	108120	61369	3432104	158051	141798
NA19770	116970	108612	61042	3410014	157200	140920
NA19771	116040	107352	60720	3381649	156103	139858
NA19773	116069	107425	60553	3391423	156747	140066
NA19774	116287	107907	60842	3392465	156305	140445
NA19776	123578	110822	61581	3479140	160679	143812
NA19777	125105	110539	61436	3464514	159327	142902
NA19779	122584	110605	61014	3425380	157671	141089
NA19780	121745	109151	60587	3391147	156718	140045
NA19782	122362	109244	60803	3426570	157143	141114
NA19783	119876	107622	60223	3321714	152985	137767
NA19785	116336	106566	60204	3371401	155298	139737
NA19786	116597	107026	60406	3381281	155722	140048
NA19788	124020	109400	61300	3413861	157709	141158
NA19789	123303	110963	61237	3459971	162602	142342
NA19792	123209	112290	61925	3440820	158831	142592
NA19794	116706	106728	60284	3388509	155527	139973
NA19795	118227	107682	60925	3429578	158469	141469
NA19818	134798	114428	63385	3944907	180979	160332
NA19819	135833	114755	63504	3956126	182274	161044
NA19834	137086	115714	63916	3986058	183736	162642
NA19835	139157	115810	63920	4027457	186866	163926
NA19900	137265	114461	63334	3993719	184282	162630
NA19901	141585	116350	62994	4058805	187455	165316
NA19904	138160	115552	62931	4004948	185039	163054
NA19908	137090	114863	62800	4023176	185491	163497
NA19909	135430	115909	62788	4022521	188924	163450
NA19913	134782	113370	62877	4013945	184922	163328
NA19914	141024	117607	63891	3939929	183732	160761
NA19916	139085	115309	62959	4056829	187603	165315
NA19917	137586	114972	62861	4050546	186966	164561
NA19920	144571	117232	63382	4053312	186842	164710
