TR_SNP	TR_DEL	TR_INS	NON_TR_SNP	NON_TR_DEL	NON_TR_INS
HG03773	118969	109857	60913	3369450	155346	139953
HG03774	112060	107159	60438	3390695	155405	140004
HG03775	120929	110623	61351	3403693	156983	141270
HG03777	114992	109221	60141	3396873	156085	140391
HG03778	115112	107250	60512	3393190	155071	140199
HG03779	118320	111388	60812	3424377	157646	141105
HG03780	115017	108965	59936	3407471	156747	140530
HG03781	120960	110876	61608	3435202	158725	142464
HG03782	115590	109487	60266	3423267	157552	141004
HG03784	118442	109927	60944	3383855	155979	139916
HG03785	114625	108777	59703	3378110	155229	139559
HG03786	119924	109966	60971	3381648	156186	139840
HG03787	121209	110807	61597	3425267	157888	142069
HG03788	121294	110496	61510	3401189	157065	141116
HG03789	119996	110714	61567	3418300	157909	141605
HG03790	114851	109164	59998	3391165	155709	140342
HG03792	114011	108325	59655	3376793	155235	139275
HG03793	118410	110152	61545	3413803	157314	141174
HG03796	122649	112281	62566	3455021	159821	143224
HG03800	119902	111044	61832	3439650	158776	142133
HG03802	119945	110355	61578	3417137	157941	141454
HG03803	120413	110105	61625	3423921	158093	141821
HG03805	111988	107977	60016	3394180	155589	140722
HG03808	115675	110065	60518	3405362	157054	141087
HG03809	115331	109505	60784	3409215	156873	140807
HG03812	115317	109477	60094	3400476	156629	140615
HG03814	119290	112060	60375	3404746	157270	140603
HG03815	118890	110435	61619	3416163	157602	141410
HG03817	113541	108617	59604	3375769	155437	139746
HG03821	112007	107463	60623	3402624	156279	140286
HG03823	116538	110295	60512	3414137	156939	140776
HG03824	118677	111584	60544	3415376	157257	141207
HG03826	118001	111037	60627	3417620	157497	141707
HG03829	117648	110426	60069	3385624	155841	140143
HG03830	117269	110404	60326	3413137	157439	141157
HG03832	115887	110107	60478	3416773	157458	141583
HG03833	113765	108136	60245	3398571	156661	140957
HG03836	114951	109111	59503	3363714	154849	139486
HG03837	111532	106258	58015	3277416	150132	136028
HG03838	121668	110245	61639	3400836	157050	140859
HG03844	119534	110065	61018	3390609	156529	140498
HG03846	114994	109784	59893	3401814	156741	141163
HG03848	114982	109985	60282	3415138	157522	140671
HG03849	121394	110835	61444	3421944	158339	141723
HG03850	114079	108219	60244	3388923	156066	140384
HG03851	114701	109130	59938	3410003	157179	140780
HG03854	115519	106658	60089	3365033	154542	139753
HG03856	114299	109216	59704	3388285	156141	139600
HG03857	119578	109274	61250	3416006	157171	140861
HG03858	117762	108610	60285	3352547	154550	139017
HG03861	117567	110109	59993	3391742	155760	140394
HG03862	117449	107959	59772	3307576	152494	137410
HG03863	115988	109751	60190	3416656	157381	141215
HG03864	121771	111232	61435	3410857	157654	141261
HG03866	113683	108063	60376	3397197	156076	140423
HG03867	114179	108667	59433	3367475	155014	139559
HG03868	118990	108368	60105	3393825	155794	140126
HG03869	120360	110224	61664	3421372	157418	141505
HG03870	114070	108485	59962	3406804	156371	140787
HG03871	119912	108967	60459	3401990	156678	140694
HG03872	115040	109263	59727	3411887	156793	140871
HG03873	117626	110615	60259	3420074	157430	141083
